start_timestamp,sequence,cat,class_product,size,class_weight,start_timestamp,seconds
2020-11-10 12:55:00, Social News,P,1,3,0.5,2020-11-10 12:55:00,169.0
2020-11-10 13:09:31,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-10 13:09:31,104.0
2020-11-10 13:24:01,Utilities Shopping News,N,2,3,1.0,2020-11-10 13:24:01,16.0
2020-11-10 13:38:32,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-10 13:38:32,14.0
2020-11-10 13:53:02,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-10 13:53:02,94.0
2020-11-10 14:07:33, Social News,N,2,3,1.0,2020-11-10 14:07:33,6.0
2020-11-10 14:22:04,Intelligence Email File Writing,G,3,4,2.0,2020-11-10 14:22:04,140.0
2020-11-10 14:36:34,Utilities Shopping News,N,2,3,1.0,2020-11-10 14:36:34,101.0
2020-11-10 14:51:05,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-10 14:51:05,58.0
2020-11-10 15:05:35,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 15:05:35,83.0
2020-11-10 15:20:06,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-10 15:20:06,59.0
2020-11-10 15:34:37,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-10 15:34:37,17.0
2020-11-10 15:49:07,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-10 15:49:07,82.0
2020-11-10 16:03:38,Utilities News Social,N,2,3,1.0,2020-11-10 16:03:38,58.0
2020-11-10 16:18:08,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-10 16:18:08,102.0
2020-11-10 16:32:39,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 16:32:39,138.0
2020-11-10 16:47:10,Utilities News Social,N,2,3,1.0,2020-11-10 16:47:10,62.0
2020-11-10 17:01:40,Utilities Shopping News,N,2,3,1.0,2020-11-10 17:01:40,31.0
2020-11-10 17:16:11,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-10 17:16:11,56.0
2020-11-10 17:30:41,Utilities Shopping News,P,1,3,0.5,2020-11-10 17:30:41,74.0
2020-11-10 17:45:12, Social News,P,1,3,0.5,2020-11-10 17:45:12,7.0
2020-11-10 17:59:43,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 17:59:43,253.0
2020-11-10 18:14:13, Social News,N,2,3,1.0,2020-11-10 18:14:13,155.0
2020-11-10 18:28:44,Utilities Shopping News,P,1,3,0.5,2020-11-10 18:28:44,55.0
2020-11-10 18:43:14,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-10 18:43:14,29.0
2020-11-10 18:57:45,Utilities News Social,P,1,3,0.5,2020-11-10 18:57:45,61.0
2020-11-10 19:12:16,Utilities Shopping News,P,1,3,0.5,2020-11-10 19:12:16,141.0
2020-11-10 19:26:46,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-10 19:26:46,160.0
2020-11-10 19:41:17,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 19:41:17,12.0
2020-11-10 19:55:47,Intelligence Email File Writing,G,3,4,2.0,2020-11-10 19:55:47,91.0
2020-11-10 20:10:18,Utilities Shopping News,P,1,3,0.5,2020-11-10 20:10:18,168.0
2020-11-10 20:24:49,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-10 20:24:49,168.0
2020-11-10 20:39:19,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-10 20:39:19,108.0
2020-11-10 20:53:50,Utilities News Social,N,2,3,1.0,2020-11-10 20:53:50,18.0
2020-11-10 21:08:20,Utilities News Social,N,2,3,1.0,2020-11-10 21:08:20,72.0
2020-11-10 21:22:51,Utilities News Social,P,1,3,0.5,2020-11-10 21:22:51,54.0
2020-11-10 21:37:22,Utilities News Social,N,2,3,1.0,2020-11-10 21:37:22,33.0
2020-11-10 21:51:52,Utilities Shopping News,P,1,3,0.5,2020-11-10 21:51:52,37.0
2020-11-10 22:06:23,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 22:06:23,173.0
2020-11-10 22:20:53, Social News,N,2,3,1.0,2020-11-10 22:20:53,78.0
2020-11-10 22:35:24,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-10 22:35:24,69.0
2020-11-10 22:49:55,Utilities News Social,N,2,3,1.0,2020-11-10 22:49:55,88.0
2020-11-10 23:04:25, Social News,N,2,3,1.0,2020-11-10 23:04:25,66.0
2020-11-10 23:18:56,Intelligence Email File Writing,G,3,4,2.0,2020-11-10 23:18:56,123.0
2020-11-10 23:33:26,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-10 23:33:26,62.0
2020-11-10 23:47:57,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-10 23:47:57,147.0
2020-11-11 00:02:28,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-11 00:02:28,6.0
2020-11-11 00:16:58,Utilities News Social,N,2,3,1.0,2020-11-11 00:16:58,122.0
2020-11-11 00:31:29,Utilities Shopping News,N,2,3,1.0,2020-11-11 00:31:29,28.0
2020-11-11 00:45:59, Social News,P,1,3,0.5,2020-11-11 00:45:59,0.0
2020-11-11 01:00:30,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-11 01:00:30,116.0
2020-11-11 01:15:01,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-11 01:15:01,52.0
2020-11-11 01:29:31,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-11 01:29:31,22.0
2020-11-11 01:44:02,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 01:44:02,36.0
2020-11-11 01:58:32,Utilities News Social,P,1,3,0.5,2020-11-11 01:58:32,127.0
2020-11-11 02:13:03,Utilities News Social,P,1,3,0.5,2020-11-11 02:13:03,82.0
2020-11-11 02:27:34,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-11 02:27:34,39.0
2020-11-11 02:42:04,Utilities Shopping News,P,1,3,0.5,2020-11-11 02:42:04,3.0
2020-11-11 02:56:35,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-11 02:56:35,147.0
2020-11-11 03:11:05,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-11 03:11:05,24.0
2020-11-11 03:25:36,Intelligence Email File Writing,G,3,4,2.0,2020-11-11 03:25:36,163.0
2020-11-11 03:40:07,Utilities Shopping News,P,1,3,0.5,2020-11-11 03:40:07,40.0
2020-11-11 03:54:37,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-11 03:54:37,106.0
