start_timestamp,sequence,cat,class_product,size,class_weight,seconds
2020-11-10 12:55:00,Social News,P,1,3,0.5,169
2020-11-10 13:09:31,Search Shopping Social Utilities,P,1,4,0.6666666667,104
2020-11-10 13:24:01,Utilities Shopping News,N,2,3,1,16
2020-11-10 13:38:32,Calendar Email Utilities Utliities,G,3,4,2,14
2020-11-10 13:53:02,Calendar Email Utilities Utliities,G,3,4,2,94
2020-11-10 14:07:33,Social News,N,2,3,1,6
2020-11-10 14:22:04,Intelligence Email File Writing,G,3,4,2,140
2020-11-10 14:36:34,Utilities Shopping News,N,2,3,1,101
2020-11-10 14:51:05,Calendar Email Utilities Utliities,G,3,4,2,58
2020-11-10 15:05:35,Message NMU Portal Email Writing,G,3,5,2.5,83
2020-11-10 15:20:06,Utilities Photos Music Social News,P,1,6,1,59
2020-11-10 15:34:37,Presentation Meeting Email Project Email Utilities,G,3,6,3,17
2020-11-10 15:49:07,Utilities Photos Music Social News,P,1,6,1,82
2020-11-10 16:03:38,Utilities News Social,N,2,3,1,58
2020-11-10 16:18:08,Spreadsheet Utilities Browsers Email,G,3,5,2.5,102
2020-11-10 16:32:39,Message NMU Portal Email Writing,G,3,5,2.5,138
2020-11-10 16:47:10,Utilities News Social,N,2,3,1,62
2020-11-10 17:01:40,Utilities Shopping News,N,2,3,1,31
2020-11-10 17:16:11,Calendar Email Utilities Portal,G,3,4,2,56
2020-11-10 17:30:41,Utilities Shopping News,P,1,3,0.5,74
2020-11-10 17:45:12,Social News,P,1,3,0.5,7
2020-11-10 17:59:43,Message NMU Portal Email Writing,G,3,5,2.5,253
2020-11-10 18:14:13,Social News,N,2,3,1,155
2020-11-10 18:28:44,Utilities Shopping News,P,1,3,0.5,55
2020-11-10 18:43:14,Calendar Email Utilities Portal,G,3,4,2,29
2020-11-10 18:57:45,Utilities News Social,P,1,3,0.5,61
2020-11-10 19:12:16,Utilities Shopping News,P,1,3,0.5,141
2020-11-10 19:26:46,Utilities Photos Music Social News,N,2,6,2,160
2020-11-10 19:41:17,Message NMU Portal Email Writing,G,3,5,2.5,12
2020-11-10 19:55:47,Intelligence Email File Writing,G,3,4,2,91
2020-11-10 20:10:18,Utilities Shopping News,P,1,3,0.5,168
2020-11-10 20:24:49,Spreadsheet Utilities Browsers Email,G,3,5,2.5,168
2020-11-10 20:39:19,Calendar Email Utilities Utliities,G,3,4,2,108
2020-11-10 20:53:50,Utilities News Social,N,2,3,1,18
2020-11-10 21:08:20,Utilities News Social,N,2,3,1,72
2020-11-10 21:22:51,Utilities News Social,P,1,3,0.5,54
2020-11-10 21:37:22,Utilities News Social,N,2,3,1,33
2020-11-10 21:51:52,Utilities Shopping News,P,1,3,0.5,37
2020-11-10 22:06:23,Message NMU Portal Email Writing,G,3,5,2.5,173
2020-11-10 22:20:53,Social News,N,2,3,1,78
2020-11-10 22:35:24,Utilities Photos Music Social News,N,2,6,2,69
2020-11-10 22:49:55,Utilities News Social,N,2,3,1,88
2020-11-10 23:04:25,Social News,N,2,3,1,66
2020-11-10 23:18:56,Intelligence Email File Writing,G,3,4,2,123
2020-11-10 23:33:26,Message NMU Portal Email Writing,G,3,5,2.5,62
2020-11-10 23:47:57,Spreadsheet Utilities Browsers Email,G,3,5,2.5,147
2020-11-11 00:02:28,Search Shopping Social Utilities,N,2,4,1.333333333,6
2020-11-11 00:16:58,Utilities News Social,N,2,3,1,122
2020-11-11 00:31:29,Utilities Shopping News,N,2,3,1,28
2020-11-11 00:45:59,Social News,P,1,3,0.5,0
2020-11-11 01:00:30,Calendar Email Utilities Portal,G,3,4,2,116
2020-11-11 01:15:01,Calendar Email Utilities Portal,G,3,4,2,52
2020-11-11 01:29:31,News Shopping  Browsers Social,P,1,6,1,22
2020-11-11 01:44:02,Presentation Meeting Email Project Email Utilities,G,3,6,3,36
2020-11-11 01:58:32,Utilities News Social,P,1,3,0.5,127
2020-11-11 02:13:03,Utilities News Social,P,1,3,0.5,82
2020-11-11 02:27:34,Search Shopping Social Utilities,P,1,4,0.6666666667,39
2020-11-11 02:42:04,Utilities Shopping News,P,1,3,0.5,3
2020-11-11 02:56:35,News Shopping  Browsers Social,N,2,6,2,147
2020-11-11 03:11:05,Calendar Email Utilities Portal,G,3,4,2,24
2020-11-11 03:25:36,Intelligence Email File Writing,G,3,4,2,163
2020-11-11 03:40:07,Utilities Shopping News,P,1,3,0.5,40
2020-11-11 03:54:37,News Shopping  Browsers Social,N,2,6,2,106
2020-11-11 04:09:08,Social News,N,2,3,1,107
2020-11-11 04:23:38,Calendar Email Utilities Utliities,G,3,4,2,61
2020-11-11 04:38:09,Utilities News Social,N,2,3,1,2
2020-11-11 04:52:40,Utilities News Social,N,2,3,1,3
2020-11-11 05:07:10,Calendar Email Utilities Utliities,G,3,4,2,119
2020-11-11 05:21:41,Social News,P,1,3,0.5,130
2020-11-11 05:36:11,Message NMU Portal Email Writing,G,3,5,2.5,20
2020-11-11 05:50:42,Spreadsheet Utilities Browsers Email,G,3,5,2.5,140
